rank,entity,count,sources,source_count
1,Donald Trump,5,CNN Top Stories; The Guardian,2
2,Sri Lanka,3,The Guardian,1
3,Trump,2,The Guardian,1
4,McCarthy,2,CNN Top Stories,1
5,Jeremy Renner,2,CNN Top Stories,1
6,Vedika Sud,2,CNN Top Stories,1
7,Pope Leo,2,BBC News; The Guardian,2
8,Steve Witkoff,2,The Guardian,1
9,Jared Kushner,2,The Guardian,1
10,Donald Trump’s,2,The Guardian,1
11,Rachel Reeves,2,The Guardian,1
12,Bissau,1,The Guardian,1
13,Ralph,1,CNN Top Stories,1
14,Damar Hamlin,1,CNN Top Stories,1
15,Buffalo Bills,1,CNN Top Stories,1
16,Feinstein,1,CNN Top Stories,1
17,Chuck Schumer,1,CNN Top Stories,1
18,Dianne Feinstein,1,CNN Top Stories,1
19,Ben Cardin,1,CNN Top Stories,1
20,Biden,1,CNN Top Stories,1
